date,ticker,close
2025-07-31,402970,12035
2025-07-31,441640,11820
2025-07-31,458730,11840
2025-07-31,490600,8625
2025-08-01,402970,11995
2025-08-01,441640,11800
2025-08-01,458730,11805
2025-08-01,490600,8615
2025-08-04,402970,11865
2025-08-04,441640,11640
2025-08-04,458730,11680
2025-08-04,490600,8505
2025-08-05,402970,11975
2025-08-05,441640,11755
2025-08-05,458730,11780
2025-08-05,490600,8560
2025-08-06,402970,12040
2025-08-06,441640,11740
2025-08-06,458730,11855
2025-08-06,490600,8630
2025-08-07,402970,11930
2025-08-07,441640,11760
2025-08-07,458730,11755
2025-08-07,490600,8565
2025-08-08,402970,12020
2025-08-08,441640,11780
2025-08-08,458730,11835
2025-08-08,490600,8615
2025-08-11,402970,12065
2025-08-11,441640,11790
2025-08-11,458730,11880
2025-08-11,490600,8620
2025-08-12,402970,12035
2025-08-12,441640,11790
2025-08-12,458730,11845
2025-08-12,490600,8610
2025-08-13,402970,12060
2025-08-13,441640,11685
2025-08-13,458730,11890
2025-08-13,490600,8660
2025-08-14,402970,12210
2025-08-14,441640,11720
2025-08-14,458730,12045
2025-08-14,490600,8770
2025-08-18,402970,12180
2025-08-18,441640,11725
2025-08-18,458730,12025
2025-08-18,490600,8780
2025-08-19,402970,12185
2025-08-19,441640,11740
2025-08-19,458730,12020
2025-08-19,490600,8805
2025-08-20,402970,12315
2025-08-20,441640,11790
2025-08-20,458730,12170
2025-08-20,490600,8890
2025-08-21,402970,12385
2025-08-21,441640,11825
2025-08-21,458730,12225
2025-08-21,490600,8915
2025-08-22,402970,12365
2025-08-22,441640,11750
2025-08-22,458730,12185
2025-08-22,490600,8895
2025-08-25,402970,12475
2025-08-25,441640,11830
2025-08-25,458730,12315
2025-08-25,490600,9020
2025-08-26,402970,12515
2025-08-26,441640,11855
2025-08-26,458730,12335
2025-08-26,490600,9025
2025-08-27,402970,12495
2025-08-27,441640,11925
2025-08-27,458730,12335
2025-08-27,490600,9030
2025-08-28,402970,12500
2025-08-28,441640,11885
2025-08-28,458730,12290
2025-08-28,490600,8915
2025-08-29,402970,12460
2025-08-29,441640,11890
2025-08-29,458730,12250
2025-08-29,490600,8870
2025-09-01,402970,12500
2025-09-01,441640,11910
2025-09-01,458730,12290
2025-09-01,490600,8890
2025-09-02,402970,12520
2025-09-02,441640,11895
2025-09-02,458730,12315
2025-09-02,490600,8920
2025-09-03,402970,12455
2025-09-03,441640,11870
2025-09-03,458730,12255
2025-09-03,490600,8895
2025-09-04,402970,12410
2025-09-04,441640,11885
2025-09-04,458730,12210
2025-09-04,490600,8860
2025-09-05,402970,12445
2025-09-05,441640,11960
2025-09-05,458730,12235
2025-09-05,490600,8915
2025-09-08,402970,12400
2025-09-08,441640,11890
2025-09-08,458730,12195
2025-09-08,490600,8895
2025-09-09,402970,12315
2025-09-09,441640,11875
2025-09-09,458730,12095
2025-09-09,490600,8845
2025-09-10,402970,12285
2025-09-10,441640,11870
2025-09-10,458730,12080
2025-09-10,490600,8820
2025-09-11,402970,12340
2025-09-11,441640,11905
2025-09-11,458730,12140
2025-09-11,490600,8855
2025-09-12,402970,12365
2025-09-12,441640,11880
2025-09-12,458730,12195
2025-09-12,490600,8930
2025-09-15,402970,12285
2025-09-15,441640,11870
2025-09-15,458730,12120
2025-09-15,490600,8885
2025-09-16,402970,12130
2025-09-16,441640,11825
2025-09-16,458730,11970
2025-09-16,490600,8780
2025-09-17,402970,12145
2025-09-17,441640,11835
2025-09-17,458730,11990
2025-09-17,490600,8775
2025-09-18,402970,12270
2025-09-18,441640,11975
2025-09-18,458730,12090
2025-09-18,490600,8860
2025-09-19,402970,12275
2025-09-19,441640,12020
2025-09-19,458730,12115
2025-09-19,490600,8860
2025-09-22,402970,12210
2025-09-22,441640,12065
2025-09-22,458730,12070
2025-09-22,490600,8830
2025-09-23,402970,12190
2025-09-23,441640,12110
2025-09-23,458730,12025
2025-09-23,490600,8815
2025-09-24,402970,12300
2025-09-24,441640,12135
2025-09-24,458730,12125
2025-09-24,490600,8870
2025-09-25,402970,12320
2025-09-25,441640,12125
2025-09-25,458730,12150
2025-09-25,490600,8905
2025-09-26,402970,12360
2025-09-26,441640,12215
2025-09-26,458730,12190
2025-09-26,490600,8945
2025-09-29,402970,12370
2025-09-29,441640,12190
2025-09-29,458730,12165
2025-09-29,490600,8825
2025-09-30,402970,12320
2025-09-30,441640,12195
2025-09-30,458730,12115
2025-09-30,490600,8765
2025-10-01,402970,12345
2025-10-01,441640,12205
2025-10-01,458730,12145
2025-10-01,490600,8770
2025-10-02,402970,12460
2025-10-02,441640,12265
2025-10-02,458730,12255
2025-10-02,490600,8790
2025-10-10,402970,12405
2025-10-10,441640,12340
2025-10-10,458730,12205
2025-10-10,490600,8785
2025-10-13,402970,12290
2025-10-13,441640,12310
2025-10-13,458730,12090
2025-10-13,490600,8740
2025-10-14,402970,12255
2025-10-14,441640,12210
2025-10-14,458730,12110
2025-10-14,490600,8750
2025-10-15,402970,12335
2025-10-15,441640,12250
2025-10-15,458730,12140
2025-10-15,490600,8785
2025-10-16,402970,12260
2025-10-16,441640,12210
2025-10-16,458730,12085
2025-10-16,490600,8780
2025-10-17,402970,12160
2025-10-17,441640,12080
2025-10-17,458730,11995
2025-10-17,490600,8720
2025-10-20,402970,12285
2025-10-20,441640,12240
2025-10-20,458730,12110
2025-10-20,490600,8770
2025-10-21,402970,12415
2025-10-21,441640,12395
2025-10-21,458730,12240
2025-10-21,490600,8850
2025-10-22,402970,12480
2025-10-22,441640,12460
2025-10-22,458730,12310
2025-10-22,490600,8905
2025-10-23,402970,12535
2025-10-23,441640,12495
2025-10-23,458730,12360
2025-10-23,490600,8960
2025-10-24,402970,12585
2025-10-24,441640,12540
2025-10-24,458730,12410
2025-10-24,490600,8975
2025-10-27,402970,12560
2025-10-27,441640,12680
2025-10-27,458730,12390
2025-10-27,490600,8965
2025-10-28,402970,12575
2025-10-28,441640,12725
2025-10-28,458730,12395
2025-10-28,490600,8990
2025-10-29,402970,12485
2025-10-29,441640,12685
2025-10-29,458730,12295
2025-10-29,490600,8920
2025-10-30,402970,12370
2025-10-30,441640,12595
2025-10-30,458730,12135
2025-10-30,490600,8630
2025-10-31,402970,12250
2025-10-31,441640,12535
2025-10-31,458730,12075
2025-10-31,490600,8550
2025-11-03,402970,12320
2025-11-03,441640,12530
2025-11-03,458730,12130
2025-11-03,490600,8560
2025-11-04,402970,12250
2025-11-04,441640,12465
2025-11-04,458730,12060
2025-11-04,490600,8525
2025-11-05,402970,12395
2025-11-05,441640,12570
2025-11-05,458730,12175
2025-11-05,490600,8610
2025-11-06,402970,12410
2025-11-06,441640,12600
2025-11-06,458730,12225
2025-11-06,490600,8635
2025-11-07,402970,12485
2025-11-07,441640,12650
2025-11-07,458730,12290
2025-11-07,490600,8625
2025-11-10,402970,12535
2025-11-10,441640,12695
2025-11-10,458730,12310
2025-11-10,490600,8670
2025-11-11,402970,12640
2025-11-11,441640,12785
2025-11-11,458730,12435
2025-11-11,490600,8720
2025-11-12,402970,12815
2025-11-12,441640,12945
2025-11-12,458730,12625
2025-11-12,490600,8830
2025-11-13,402970,12875
2025-11-13,441640,12900
2025-11-13,458730,12680
2025-11-13,490600,8910
2025-11-14,402970,12770
2025-11-14,441640,12620
2025-11-14,458730,12600
