etf_id,ticker,period,as_of_date,target_start_date,actual_start_date,actual_end_date,total_return_pct,net_total_return_pct,return_basis,calculation_status,distribution_event_count,blocking_event_ids,price_observation_count,calculation_version,calculated_at
KR70000J0003,0000J0,1m,2026-09-01,2026-08-01,2026-07-31,2026-09-01,18.787012,18.787012,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,22,1,2026-09-01T10:50:08+09:00
KR70000J0003,0000J0,2m,2026-09-01,2026-07-01,2026-07-01,2026-09-01,-3.739864,-3.739864,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,43,1,2026-09-01T10:50:08+09:00
KR70000J0003,0000J0,3m,2026-09-01,2026-06-01,2026-06-01,2026-09-01,-17.148554,-17.148554,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,64,1,2026-09-01T10:50:08+09:00
KR70000J0003,0000J0,6m,2026-09-01,2026-03-01,2026-02-27,2026-09-01,-25.057975,-25.057975,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,126,1,2026-09-01T10:50:08+09:00
KR70000J0003,0000J0,1y,2026-09-01,2025-09-01,2025-09-01,2026-09-01,16.038300,16.038300,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,244,1,2026-09-01T10:50:08+09:00
KR70000J0003,0000J0,2y,2026-09-01,2024-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70000J0003,0000J0,3y,2026-09-01,2023-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70000J0003,0000J0,ytd,2026-09-01,2025-12-31,2025-12-30,2026-09-01,17.278226,17.278226,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,164,1,2026-09-01T10:50:08+09:00
KR70000Y0004,0000Y0,1d,2026-09-01,2026-08-31,2026-08-31,2026-09-01,0.000000,0.000000,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,2,1,2026-09-01T10:50:08+09:00
KR70000Y0004,0000Y0,1w,2026-09-01,2026-08-25,2026-08-25,2026-09-01,0.034385,0.034385,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,6,1,2026-09-01T10:50:08+09:00
KR70000Y0004,0000Y0,2w,2026-09-01,2026-08-18,2026-08-18,2026-09-01,0.088465,0.088465,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,11,1,2026-09-01T10:50:08+09:00
KR70000Y0004,0000Y0,1m,2026-09-01,2026-08-01,2026-07-31,2026-09-01,0.236255,0.236255,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,22,1,2026-09-01T10:50:08+09:00
KR70000Y0004,0000Y0,2m,2026-09-01,2026-07-01,2026-07-01,2026-09-01,0.508341,0.508341,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,43,1,2026-09-01T10:50:08+09:00
KR70000Y0004,0000Y0,3m,2026-09-01,2026-06-01,2026-06-01,2026-09-01,0.642451,0.642451,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,64,1,2026-09-01T10:50:08+09:00
KR70000Y0004,0000Y0,6m,2026-09-01,2026-03-01,2026-02-27,2026-09-01,1.288173,1.288173,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,126,1,2026-09-01T10:50:08+09:00
KR70000Y0004,0000Y0,1y,2026-09-01,2025-09-01,2025-09-01,2026-09-01,2.251388,2.251388,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,244,1,2026-09-01T10:50:08+09:00
KR70000Y0004,0000Y0,2y,2026-09-01,2024-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70000Y0004,0000Y0,3y,2026-09-01,2023-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70000Y0004,0000Y0,ytd,2026-09-01,2025-12-31,2025-12-30,2026-09-01,1.763942,1.763942,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,164,1,2026-09-01T10:50:08+09:00
KR70000Z0003,0000Z0,1d,2026-09-01,2026-08-31,2026-08-31,2026-09-01,-0.544070,-0.544070,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,2,1,2026-09-01T10:50:08+09:00
KR70000Z0003,0000Z0,1w,2026-09-01,2026-08-25,2026-08-25,2026-09-01,-2.454642,-2.454642,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,6,1,2026-09-01T10:50:08+09:00
KR70000Z0003,0000Z0,2w,2026-09-01,2026-08-18,2026-08-18,2026-09-01,-2.765957,-2.765957,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,11,1,2026-09-01T10:50:08+09:00
KR70000Z0003,0000Z0,1m,2026-09-01,2026-08-01,2026-07-31,2026-09-01,14.536341,14.536341,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,22,1,2026-09-01T10:50:08+09:00
KR70000Z0003,0000Z0,2m,2026-09-01,2026-07-01,2026-07-01,2026-09-01,-19.435875,-19.435875,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,43,1,2026-09-01T10:50:08+09:00
KR70000Z0003,0000Z0,3m,2026-09-01,2026-06-01,2026-06-01,2026-09-01,-27.974783,-27.974783,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,64,1,2026-09-01T10:50:08+09:00
KR70000Z0003,0000Z0,6m,2026-09-01,2026-03-01,2026-02-27,2026-09-01,-49.697303,-49.697303,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,126,1,2026-09-01T10:50:08+09:00
KR70000Z0003,0000Z0,1y,2026-09-01,2025-09-01,2025-09-01,2026-09-01,-22.771441,-22.771441,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,244,1,2026-09-01T10:50:08+09:00
KR70000Z0003,0000Z0,2y,2026-09-01,2024-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70000Z0003,0000Z0,3y,2026-09-01,2023-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
