page_id,bucket,theme_key,region,isin,ticker,name,base_index,aum_krw,aum_rank_in_bucket,selection_rank,classification_status,eligibility_status,exclusion_codes,selection_status,selection_reason,official_validation_status,official_source_url,official_evidence_summary,strategy_change_status
ai_momentum,ai_it_bigtech,ai_it_bigtech,us,KR70190M0008,0190M0,KIWOOM 미국AI테크하이베타,Akros 미국AI&프론티어테크 하이베타 지수,21369495316,,,manual_review,excluded_or_review,CLASSIFICATION_UNCONFIRMED;HISTORY_1Y_MISSING,not_selected,,,,,
ai_momentum,ai_it_bigtech,ai_it_bigtech,us,KR7280320003,280320,ACE 미국IT인터넷(합성 H),다우존스 인터넷 종합지수,17406160738,,,manual_review,excluded_or_review,CLASSIFICATION_UNCONFIRMED,not_selected,,,,,
ai_momentum,ai_it_bigtech,ai_it_bigtech,other,KR70087F0003,0087F0,ACE 차이나AI빅테크TOP2+액티브,Solactive China AI Big Tech TOP2+ Index (Price Return),6539789550,,,confirmed,excluded_or_review,HISTORY_1Y_MISSING,not_selected,,,,,
ai_momentum,ai_it_bigtech,ai_it_bigtech,us,KR7465620003,465620,ACE 미국빅테크TOP7 Plus인버스(합성),Solactive US Big Tech Top 7 Plus Price Return Index,1548574508,,,confirmed_ecosystem,excluded_or_review,STRUCTURE_EXCLUDED,not_selected,,,,,
ai_momentum,ai_platform_software,ai_platform_software,global,KR7412770000,412770,TIGER 글로벌AI플랫폼액티브,Indxx Global Metaverse Index (Price Return),78849408415,,,manual_review,excluded_or_review,CLASSIFICATION_UNCONFIRMED,not_selected,,,,,
ai_momentum,ai_platform_software,ai_platform_software,us,KR70102A0009,0102A0,TIGER 미국AI소프트웨어TOP4Plus,Akros U.S. AI Software TOP4 Plus 지수 (Price Return),71771108046,,,confirmed,excluded_or_review,HISTORY_1Y_MISSING,not_selected,,,,,
ai_momentum,ai_platform_software,ai_platform_software,global,KR7407830009,407830,에셋플러스 글로벌플랫폼액티브,S&P 500,34118175441,,,manual_review,excluded_or_review,CLASSIFICATION_UNCONFIRMED,not_selected,,,,,
ai_momentum,ai_platform_software,ai_platform_software,korea,KR70105D0003,0105D0,SOL 한국AI소프트웨어,KEDI 한국AI소프트웨어 지수(PR),18576893462,,,confirmed,excluded_or_review,HISTORY_1Y_MISSING,not_selected,,,,,
ai_momentum,ai_robotics_automation,ai_robotics_automation,korea,KR70148J0006,0148J0,TIGER 코리아휴머노이드로봇산업,KEDI 코리아 휴머노이드로봇산업 지수 (PR),650088980572,,,confirmed_ecosystem,excluded_or_review,HISTORY_1Y_MISSING,not_selected,,,,,
ai_momentum,ai_robotics_automation,ai_robotics_automation,korea,KR70190C0000,0190C0,RISE 현대차고정피지컬AI,KEDI 현대차고정피지컬AI 지수,519277901900,,,confirmed,excluded_or_review,HISTORY_1Y_MISSING,not_selected,,,,,
ai_momentum,ai_robotics_automation,ai_robotics_automation,other,KR70053L0005,0053L0,TIGER 차이나휴머노이드로봇,Mirae Asset China Humanoid Robot 지수(PR),276141056019,,,manual_review,excluded_or_review,CLASSIFICATION_UNCONFIRMED,not_selected,,,,,
ai_momentum,ai_robotics_automation,ai_robotics_automation,korea,KR70204D0003,0204D0,KODEX 현대차로보틱스밸류체인TOP3플러스,Akros 현대차로보틱스 밸류체인 TOP3 플러스 지수 (PR),210098331122,,,confirmed_ecosystem,excluded_or_review,HISTORY_1Y_MISSING,not_selected,,,,,
ai_momentum,ai_robotics_automation,ai_robotics_automation,korea,KR70177X0002,0177X0,ACE K휴머노이드로봇산업TOP2+,Akros K-휴머노이드 로봇 TOP2+ 지수 (시장가격),111731546299,,,confirmed_ecosystem,excluded_or_review,HISTORY_1Y_MISSING,not_selected,,,,,
ai_momentum,ai_robotics_automation,ai_robotics_automation,global,KR70185L0006,0185L0,TIME 글로벌휴머노이드로봇산업액티브,Solactive Global AI Humanoid Robotics 지수(원화환산)(PR),55431732327,,,confirmed,excluded_or_review,HISTORY_1Y_MISSING,not_selected,,,,,
ai_momentum,ai_robotics_automation,ai_robotics_automation,us,KR70218J0001,0218J0,RISE 미국우주&로봇TOP2미국채혼합50,Akros 미국 우주-로봇 TOP2 채권혼합50 지수,26680690575,,,confirmed_ecosystem,excluded_or_review,ASSET_CLASS_NOT_EQUITY;HISTORY_1Y_MISSING,not_selected,,,,,
