ticker,isin,name,listing_date,reference_price,reference_price_currency,source_name,source_receipt_no,source_url,notice_applied_date,notice_title,verification_status,verification_note,fetched_at
0204S0,KR70204S0006,TIGER 코스닥액티브,2026-06-02,9065,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260601001982,https://kind.krx.co.kr/external/2026/06/01/001982/20260601003120/99401.htm,2026-06-02,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0206G0,KR70206G0008,1Q 현대차기아채권혼합50,2026-06-09,9440,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260608001077,https://kind.krx.co.kr/external/2026/06/08/001077/20260608002153/99401.htm,2026-06-09,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0207G0,KR70207G0007,SOL 우주항공밸류체인,2026-06-16,10170,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260615000968,https://kind.krx.co.kr/external/2026/06/15/000968/20260615001879/99401.htm,2026-06-16,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0207Z0,KR70207Z0004,KIWOOM 미국우주데이터센터인프라,2026-06-16,10000,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260615000969,https://kind.krx.co.kr/external/2026/06/15/000969/20260615001878/99401.htm,2026-06-16,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0208N0,KR70208N0007,IBK 코스피액티브,2026-06-23,10580,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260622000888,https://kind.krx.co.kr/external/2026/06/22/000888/20260622001928/99401.htm,2026-06-23,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0209D0,KR70209D0008,KODEX 전고체배터리ESS TOP2플러스,2026-06-23,9380,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260622000889,https://kind.krx.co.kr/external/2026/06/22/000889/20260622001930/99401.htm,2026-06-23,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0209Z0,KR70209Z0002,ACE 코리아AI전력TOP10,2026-06-23,9290,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260622000887,https://kind.krx.co.kr/external/2026/06/22/000887/20260622001927/99401.htm,2026-06-23,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0210A0,KR70210A0008,ACE K반도체TOP2+,2026-06-23,11180,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260622000886,https://kind.krx.co.kr/external/2026/06/22/000886/20260622001926/99401.htm,2026-06-23,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0210E0,KR70210E0004,PLUS 200커버드콜액티브,2026-06-23,10410,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260622000885,https://kind.krx.co.kr/external/2026/06/22/000885/20260622001925/99401.htm,2026-06-23,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0214M0,KR70214M0000,MIDAS 바이오헬스케어액티브,2026-07-28,10475,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260727000813,https://kind.krx.co.kr/external/2026/07/27/000813/20260727001858/99401.htm,2026-07-28,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
