ticker,master_isin,ledger_isin,listing_date,listing_date_status,result
0036R0,KR70036R0001,KR70036R0001,2025-04-15,verified_official,synced
0036Z0,KR70036Z0001,KR70036Z0001,2025-04-22,verified_official,synced
0038A0,KR70038A0008,KR70038A0008,2025-04-15,verified_official,synced
0040S0,KR70040S0004,KR70040S0004,2025-04-22,verified_official,synced
0040X0,KR70040X0007,KR70040X0007,2025-04-22,verified_official,synced
0040Y0,KR70040Y0006,KR70040Y0006,2025-04-22,verified_official,synced
0041D0,KR70041D0000,KR70041D0000,2025-04-22,verified_official,synced
0041E0,KR70041E0009,KR70041E0009,2025-04-22,verified_official,synced
0043B0,KR70043B0000,KR70043B0000,2025-04-22,verified_official,synced
0043Y0,KR70043Y0003,KR70043Y0003,2025-05-13,verified_official,synced
0046A0,KR70046A0008,KR70046A0008,2025-04-29,verified_official,synced
0046Y0,KR70046Y0000,KR70046Y0000,2025-05-13,verified_official,synced
0047A0,KR70047A0007,KR70047A0007,2025-05-13,verified_official,synced
0047N0,KR70047N0002,KR70047N0002,2025-05-13,verified_official,synced
0047P0,KR70047P0000,KR70047P0000,2025-05-13,verified_official,synced
0047R0,KR70047R0008,KR70047R0008,2025-05-13,verified_official,synced
0048J0,KR70048J0007,KR70048J0007,2025-05-13,verified_official,synced
0048K0,KR70048K0004,KR70048K0004,2025-05-13,verified_official,synced
0049K0,KR70049K0003,KR70049K0003,2025-05-13,verified_official,synced
0049M0,KR70049M0001,KR70049M0001,2025-05-13,verified_official,synced
0050E0,KR70050E0007,KR70050E0007,2025-05-20,verified_official,synced
0051A0,KR70051A0000,KR70051A0000,2025-05-20,verified_official,synced
0051G0,KR70051G0004,KR70051G0004,2025-05-20,verified_official,synced
0052D0,KR70052D0006,KR70052D0006,2025-05-20,verified_official,synced
0052S0,KR70052S0009,KR70052S0009,2025-06-10,verified_official,synced
0052T0,KR70052T0008,KR70052T0008,2025-05-27,verified_official,synced
0053L0,KR70053L0005,KR70053L0005,2025-05-27,verified_official,synced
0053M0,KR70053M0004,KR70053M0004,2025-07-22,verified_official,synced
0057H0,KR70057H0007,KR70057H0007,2025-06-10,verified_official,synced
0060H0,KR70060H0002,KR70060H0002,2025-06-24,verified_official,synced
0061Z0,KR70061Z0009,KR70061Z0009,2025-06-24,verified_official,synced
0064K0,KR70064K0003,KR70064K0003,2025-06-17,verified_official,synced
0065G0,KR70065G0008,KR70065G0008,2025-06-17,verified_official,synced
0066W0,KR70066W0007,KR70066W0007,2025-06-17,verified_official,synced
0067V0,KR70067V0007,KR70067V0007,2025-06-17,verified_official,synced
0067Y0,KR70067Y0004,KR70067Y0004,2025-06-17,verified_official,synced
0068M0,KR70068M0007,KR70068M0007,2025-06-24,verified_official,synced
0069M0,KR70069M0006,KR70069M0006,2025-06-24,verified_official,synced
0072R0,KR70072R0006,KR70072R0006,2025-06-24,verified_official,synced
0073X0,KR70073X0007,KR70073X0007,2025-07-01,verified_official,synced
0074K0,KR70074K0001,KR70074K0001,2025-07-08,verified_official,synced
0078V0,KR70078V0004,KR70078V0004,2025-07-22,verified_official,synced
0079X0,KR70079X0001,KR70079X0001,2025-07-15,verified_official,synced
0080G0,KR70080G0009,KR70080G0009,2025-07-15,verified_official,synced
0080X0,KR70080X0008,KR70080X0008,2025-07-15,verified_official,synced
0080Y0,KR70080Y0007,KR70080Y0007,2025-07-15,verified_official,synced
0082F0,KR70082F0008,KR70082F0008,2025-07-29,verified_official,synced
0082V0,KR70082V0008,KR70082V0008,2025-07-22,verified_official,synced
0083S0,KR70083S0002,KR70083S0002,2025-07-22,verified_official,synced
0084D0,KR70084D0008,KR70084D0008,2025-07-22,verified_official,synced
0084E0,KR70084E0007,KR70084E0007,2025-10-21,verified_official,synced
0085N0,KR70085N0005,KR70085N0005,2025-07-22,verified_official,synced
0085P0,KR70085P0003,KR70085P0003,2025-07-22,verified_official,synced
0086B0,KR70086B0008,KR70086B0008,2025-07-29,verified_official,synced
0086C0,KR70086C0007,KR70086C0007,2025-07-29,verified_official,synced
0087F0,KR70087F0003,KR70087F0003,2025-07-29,verified_official,synced
0088N0,KR70088N0002,KR70088N0002,2025-08-12,verified_official,synced
0089B0,KR70089B0005,KR70089B0005,2025-08-19,verified_official,synced
0089C0,KR70089C0004,KR70089C0004,2025-08-12,verified_official,synced
0089D0,KR70089D0003,KR70089D0003,2025-08-12,verified_official,synced
0090B0,KR70090B0002,KR70090B0002,2025-08-26,verified_official,synced
0091C0,KR70091C0000,KR70091C0000,2025-08-19,verified_official,synced
0091M0,KR70091M0008,KR70091M0008,2025-08-26,verified_official,synced
0091P0,KR70091P0005,KR70091P0005,2025-08-19,verified_official,synced
0092B0,KR70092B0000,KR70092B0000,2025-08-19,verified_official,synced
0092C0,KR70092C0009,KR70092C0009,2025-08-19,verified_official,synced
