ticker,isin,master_name,kind_code,kind_name,kind_isin,kind_ticker,listing_date,source_url,verification_result,error,collected_at
091160,KR7091160002,KODEX 반도체,09116,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09116,rejected,KIND summary fields not found,2026-08-14T10:48:21+00:00
091170,KR7091170001,KODEX 은행,09117,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09117,rejected,KIND summary fields not found,2026-08-14T10:48:21+00:00
091180,KR7091180000,KODEX 자동차,09118,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09118,rejected,KIND summary fields not found,2026-08-14T10:48:22+00:00
091220,KR7091220004,TIGER 은행,09122,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09122,rejected,KIND summary fields not found,2026-08-14T10:48:22+00:00
091230,KR7091230003,TIGER 반도체,09123,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09123,rejected,KIND summary fields not found,2026-08-14T10:48:23+00:00
099140,KR7099140006,KODEX 차이나H,09914,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09914,rejected,KIND summary fields not found,2026-08-14T10:48:23+00:00
100910,KR7100910009,KIWOOM KRX100,10091,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10091,rejected,KIND summary fields not found,2026-08-14T10:48:24+00:00
101280,KR7101280006,KODEX 일본TOPIX100,10128,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10128,rejected,KIND summary fields not found,2026-08-14T10:48:24+00:00
102780,KR7102780004,KODEX 삼성그룹,10278,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10278,rejected,KIND summary fields not found,2026-08-14T10:48:25+00:00
102960,KR7102960002,KODEX 기계장비,10296,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10296,rejected,KIND summary fields not found,2026-08-14T10:48:25+00:00
102970,KR7102970001,KODEX 증권,10297,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10297,rejected,KIND summary fields not found,2026-08-14T10:48:26+00:00
104520,KR7104520002,KIWOOM 블루칩,10452,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10452,rejected,KIND summary fields not found,2026-08-14T10:48:26+00:00
104530,KR7104530001,KIWOOM 코리아고배당,10453,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10453,rejected,KIND summary fields not found,2026-08-14T10:48:27+00:00
169950,KR7169950003,KODEX 차이나A50,16995,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=16995,rejected,KIND summary fields not found,2026-08-14T10:48:27+00:00
174350,KR7174350009,TIGER 로우볼,17435,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=17435,rejected,KIND summary fields not found,2026-08-14T10:48:28+00:00
200250,KR7200250009,KIWOOM 인도Nifty50(합성),20025,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=20025,rejected,KIND summary fields not found,2026-08-14T10:48:28+00:00
204480,KR7204480008,TIGER 차이나CSI300레버리지(합성),20448,,,,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=20448,rejected,KIND summary fields not found,2026-08-14T10:48:28+00:00
