isin_cd,ticker,name,base_index,asset_family,region_primary,comparison_category,comparison_topic,comparison_subtopic,index_family,strategy_style,payoff_structure,direction,leverage_multiple,fx_hedge,replication_method,concentration_bucket,primary_peer_group_id,alternate_peer_group_ids,classification_status,evidence_basis,official_source_url,review_reason
KR7266390004,266390,KODEX 경기소비재,KRX 경기소비재,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,plain,plain,neutral,1X,unknown,physical_or_unspecified,unknown,PG-PENDING-266390-5f2bcf8223,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7266410000,266410,KODEX 필수소비재,KRX 필수소비재,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,plain,plain,neutral,1X,unknown,physical_or_unspecified,unknown,PG-PENDING-266410-503e67a70a,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7267440006,267440,RISE 미국장기국채선물(H),S&P U.S. Treasury Bond Futures Excess Return Index,채권,미국,채권,채권,미국 국채 장기 등급미확인,BOND_미국-국채-장기-등급미확인-047cbda7f5,plain,bond_coupon,neutral,1X,hedged,physical_or_unspecified,unknown,PG-PENDING-267440-bfd9838fbc,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/미국 국채 장기 등급미확인),불가,세부 투자대상 또는 만기·구성비율 미확인
KR7267450005,267450,RISE 미국장기국채선물인버스(H),S&P U.S. Treasury Bond Futures Excess Return Index,채권,미국,채권,채권,미국 국채 장기 등급미확인,BOND_미국-국채-장기-등급미확인-047cbda7f5,inverse,bond_coupon,short,1X,hedged,physical_or_unspecified,unknown,PG-PENDING-267450-74264b68e9,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(inverse); 자산군·투자대상 추출(채권/미국 국채 장기 등급미확인),불가,세부 투자대상 또는 만기·구성비율 미확인
KR7267490001,267490,RISE 미국장기국채선물레버리지(합성 H),S&P U.S. Treasury Bond Futures Excess Return Index,채권,미국,채권,채권,미국 국채 장기 등급미확인,BOND_미국-국채-장기-등급미확인-047cbda7f5,leveraged,bond_coupon,long,2X,hedged,synthetic,unknown,PG-PENDING-267490-d95c00af44,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(leveraged); 자산군·투자대상 추출(채권/미국 국채 장기 등급미확인),불가,세부 투자대상 또는 만기·구성비율 미확인
KR7267770006,267770,TIGER 200선물레버리지,코스피 200 선물지수,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,leveraged,leveraged,long,2X,unknown,physical_or_unspecified,broad,PG-PENDING-267770-21466fb4ea,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(leveraged); 자산군·투자대상 추출(주식/국내 미확인 주식전략),불가,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7270810005,270810,RISE 코스닥150,코스닥 150,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,plain,plain,neutral,1X,unknown,physical_or_unspecified,unknown,PG-PENDING-270810-b696c03a9f,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7272560004,272560,RISE 단기국공채액티브,KIS 종합채권국공채3M~1.5Y지수,채권,국내,채권,채권,국내 채권 단기 등급미확인,BOND_국내-채권-단기-등급미확인-afa2e5ef57,plain,bond_coupon,neutral,1X,unknown,active,unknown,PG-PENDING-272560-2d012bf18d,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 채권 단기 등급미확인),가능,세부 투자대상 또는 만기·구성비율 미확인
KR7272570003,272570,RISE 중장기국공채액티브,KIS 종합채권국공채4~5Y지수,채권,국내,채권,채권,국내 채권 중기 등급미확인,BOND_국내-채권-중기-등급미확인-af53603ca9,plain,bond_coupon,neutral,1X,unknown,active,unknown,PG-PENDING-272570-f156046476,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 채권 중기 등급미확인),가능,세부 투자대상 또는 만기·구성비율 미확인
KR7272580002,272580,TIGER 단기채권액티브,KIS MSB 6M PLUS 지수,채권,국내,채권,채권,국내 채권 단기 등급미확인,BOND_국내-채권-단기-등급미확인-afa2e5ef57,plain,bond_coupon,neutral,1X,unknown,active,unknown,PG-PENDING-272580-4417cdc47d,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 채권 단기 등급미확인),가능,세부 투자대상 또는 만기·구성비율 미확인
