normalized_index_family,alias,index_family,canonical_category,canonical_topic,source_type
코스피-고배당-위클리-고정-커버드콜-지수-3fccb544a6,코스피 고배당 위클리 고정 커버드콜 지수,코스피-고배당-위클리-고정-커버드콜-지수-3fccb544a6,배당·주주환원,고배당,normalized_master
SOLACTIVE-US-QUANTUM-COMPUTING-TECHNOLOGY-IN-9f37fad74d,Solactive US Quantum Computing Technology Index PR,SOLACTIVE-US-QUANTUM-COMPUTING-TECHNOLOGY-IN-9f37fad74d,일반주식,지수기반,normalized_master
NASDAQ100,FnGuide 미국나스닥100 단기채권혼합 지수,NASDAQ100,혼합자산,자산배분,normalized_master
FACTSET-글로벌양자컴퓨팅-PR-지수-c58fe2916f,FactSet 글로벌양자컴퓨팅 PR 지수,FACTSET-글로벌양자컴퓨팅-PR-지수-c58fe2916f,일반주식,지수기반,normalized_master
KEDI-골드인컴프리미엄-지수-NTR-806e818b54,KEDI 골드인컴프리미엄 지수(NTR),KEDI-골드인컴프리미엄-지수-NTR-806e818b54,원자재,금,normalized_master
KEDI-미국양자컴퓨팅-TOP10-PR-887d9464c3,KEDI 미국양자컴퓨팅 TOP10(PR),KEDI-미국양자컴퓨팅-TOP10-PR-887d9464c3,일반주식,지수기반,normalized_master
ISELECT-미국양자컴퓨팅-TOP10-PR-948c777033,iSelect 미국양자컴퓨팅 TOP10 (PR),ISELECT-미국양자컴퓨팅-TOP10-PR-948c777033,일반주식,지수기반,normalized_master
S-P-KOREA-TARGET-DATE-2045-GLOBAL-INDEX-d341523421,S&P Korea Target Date 2045 Global Index,S-P-KOREA-TARGET-DATE-2045-GLOBAL-INDEX-d341523421,혼합자산,자산배분,normalized_master
SP500,S&P500 10% Buffered Index March Series (USD) TR,SP500,대표지수,S&P500,normalized_master
SP500,S&P 500,SP500,대표지수,S&P500,normalized_master
ISELECT-미국-차세대-파이낸셜-테크-지수-시장가격-02ff1192e4,iSelect 미국 차세대 파이낸셜 테크 지수(시장가격),ISELECT-미국-차세대-파이낸셜-테크-지수-시장가격-02ff1192e4,일반주식,지수기반,normalized_master
ISELECT-글로벌휴머노이드로봇-PR-eac847a2c0,iSelect 글로벌휴머노이드로봇 (PR),ISELECT-글로벌휴머노이드로봇-PR-eac847a2c0,테마,로봇,normalized_master
DOW-JONES-U-S-DIVIDEND-100-PRICE-RETURN-INDE-7c5a0ad9ec,Dow Jones U.S. Dividend 100 Price Return Index,DOW-JONES-U-S-DIVIDEND-100-PRICE-RETURN-INDE-7c5a0ad9ec,배당·주주환원,고배당,normalized_master
KEDI-미국-휴머노이드-로봇-지수-시장가격-fdfb271956,KEDI 미국 휴머노이드 로봇 지수(시장가격),KEDI-미국-휴머노이드-로봇-지수-시장가격-fdfb271956,테마,로봇,normalized_master
SOLACTIVE-US-NATURAL-GAS-VALUE-CHAIN-INDEX-P-cff30def0e,Solactive US Natural Gas Value Chain Index PR,SOLACTIVE-US-NATURAL-GAS-VALUE-CHAIN-INDEX-P-cff30def0e,일반주식,지수기반,normalized_master
ISELECT-미국-휴머노이드-로봇-지수-PRICE-RETURN-949c4a5a56,iSelect 미국 휴머노이드 로봇 지수(Price Return),ISELECT-미국-휴머노이드-로봇-지수-PRICE-RETURN-949c4a5a56,테마,로봇,normalized_master
SOLACTIVE-PHYSICAL-AI-INDEX-284f0573d5,Solactive Physical AI Index,SOLACTIVE-PHYSICAL-AI-INDEX-284f0573d5,일반주식,지수기반,normalized_master
KEDI-팔란티어미국채커버드콜혼합지수-NTR-a63071964d,KEDI 팔란티어미국채커버드콜혼합지수(NTR),KEDI-팔란티어미국채커버드콜혼합지수-NTR-a63071964d,혼합자산,자산배분,normalized_master
KEDI-팔란티어커버드콜OTM-채권혼합지수-NTR-87cc890182,KEDI 팔란티어커버드콜OTM 채권혼합지수(NTR),KEDI-팔란티어커버드콜OTM-채권혼합지수-NTR-87cc890182,혼합자산,자산배분,normalized_master
ISELECT-미국-AI-소프트웨어-TOP10-지수-PR-e55fee6b9c,iSelect 미국 AI 소프트웨어 TOP10 지수(PR),ISELECT-미국-AI-소프트웨어-TOP10-지수-PR-e55fee6b9c,일반주식,지수기반,normalized_master
SP500,S&P 500,SP500,대표지수,S&P500,normalized_master
KIS-미래에셋-MMF지수-5172527bfa,KIS-미래에셋 MMF지수,KIS-미래에셋-MMF지수-5172527bfa,금리,MMF·머니마켓,normalized_master
SOLACTIVE-CHINA-ARTIFICIAL-INTELLIGENCE-지수-원-d717dbd79f,Solactive China Artificial Intelligence 지수(원화환산)(PR),SOLACTIVE-CHINA-ARTIFICIAL-INTELLIGENCE-지수-원-d717dbd79f,테마,인공지능,normalized_master
ICE-0-3-MONTH-US-TREASURY-SECURITIES-지수-d1ab87fd95,ICE 0-3 Month US Treasury Securities 지수,ICE-0-3-MONTH-US-TREASURY-SECURITIES-지수-d1ab87fd95,금리,초단기 금리,normalized_master
WISDOMTREE-U-S-QUALITY-DIVIDEND-GROWTH-INDEX-6647518acd,WisdomTree U.S. Quality Dividend Growth Index (Price Return),WISDOMTREE-U-S-QUALITY-DIVIDEND-GROWTH-INDEX-6647518acd,배당·주주환원,고배당,normalized_master
MIRAE-ASSET-CHINA-TECH-TOP-10-지수-PRICE-RETUR-b0ddab98ed,Mirae Asset China Tech Top 10 지수 (Price Return),MIRAE-ASSET-CHINA-TECH-TOP-10-지수-PRICE-RETUR-b0ddab98ed,일반주식,지수기반,normalized_master
SOLACTIVE-CHINA-AI-TECH-TOP10-INDEX-PR-a3bfc6d1bb,Solactive China AI Tech Top10 Index(PR),SOLACTIVE-CHINA-AI-TECH-TOP10-INDEX-PR-a3bfc6d1bb,일반주식,지수기반,normalized_master
KEDI-테슬라고정테크100-지수-PR-dac61dd39e,KEDI 테슬라고정테크100 지수(PR),KEDI-테슬라고정테크100-지수-PR-dac61dd39e,일반주식,지수기반,normalized_master
KEDI-팔란티어고정테크100-지수-PR-422a25bbf7,KEDI 팔란티어고정테크100 지수(PR),KEDI-팔란티어고정테크100-지수-PR-422a25bbf7,일반주식,지수기반,normalized_master
KAP-미국-머니마켓-지수-10aff4d687,KAP 미국 머니마켓 지수,KAP-미국-머니마켓-지수-10aff4d687,금리,MMF·머니마켓,normalized_master
SOLACTIVE-CHINA-HUMANOID-ROBOTICS-INDEX-CNH--0f365c5a8f,Solactive China Humanoid Robotics Index (CNH) (Price Return),SOLACTIVE-CHINA-HUMANOID-ROBOTICS-INDEX-CNH--0f365c5a8f,테마,로봇,normalized_master
BLOOMBERG-WISDOMTREE-U-S-QUALITY-DIVIDEND-SH-7070f448d6,Bloomberg WisdomTree U.S. Quality Dividend & Short Term KRW Bonds 50:50 TR Index,BLOOMBERG-WISDOMTREE-U-S-QUALITY-DIVIDEND-SH-7070f448d6,혼합자산,자산배분,normalized_master
BLOOMBERG-WISDOMTREE-U-S-QUALITY-DIVIDEND-B5-1ff383c118,Bloomberg WisdomTree U.S. Quality Dividend & B500 Premium Decrement 50:50 Index,BLOOMBERG-WISDOMTREE-U-S-QUALITY-DIVIDEND-B5-1ff383c118,배당·주주환원,고배당,normalized_master
SOLACTIVE-US-AI-AGENTS-INDEX-PR-2a42dbb167,Solactive US AI Agents Index(PR),SOLACTIVE-US-AI-AGENTS-INDEX-PR-2a42dbb167,일반주식,지수기반,normalized_master
FACTSET-브로드컴밸류체인-지수-942e1b6016,FactSet 브로드컴밸류체인 지수,FACTSET-브로드컴밸류체인-지수-942e1b6016,일반주식,지수기반,normalized_master
KEDI-미국원자력-SMR-지수-PR-32f3c94e41,KEDI 미국원자력 SMR 지수(PR),KEDI-미국원자력-SMR-지수-PR-32f3c94e41,일반주식,지수기반,normalized_master
DOW-JONES-KOREA-DIVIDEND-30-지수-PRICE-RETURN-9cb2dd639c,Dow Jones Korea Dividend 30 지수 (Price Return),DOW-JONES-KOREA-DIVIDEND-30-지수-PRICE-RETURN-9cb2dd639c,배당·주주환원,고배당,normalized_master
SP500,S&P 500 and Short-Term Treasury 50/50 Blend Index,SP500,혼합자산,자산배분,normalized_master
KEDI-중단기크레딧플러스채권-AAA-A-지수-총수익-543d473a44,KEDI 중단기크레딧플러스채권(AAA~A-)지수(총수익),KEDI-중단기크레딧플러스채권-AAA-A-지수-총수익-543d473a44,채권,회사채/초단기/A,normalized_master
