ticker,name,reference_date,return_6m_pct,6m_anchor_date,return_ytd_pct,ytd_anchor_date,return_1y_pct,1y_anchor_date,return_2y_pct,2y_anchor_date,return_3y_pct,3y_anchor_date,mdd_1y_pct,return_basis
069500,KODEX 200,2026-08-10,26.10,2026-02-10,62.59,2025-12-30,128.45,2025-08-08,69.94,2024-08-09,44.94,2023-08-10,-40.81,KRW market-price total return; official cash distributions reinvested
360750,TIGER 미국S&P500,2026-08-10,8.87,2026-02-10,11.03,2025-12-30,25.88,2025-08-08,24.21,2024-08-09,24.25,2023-08-10,-9.35,KRW market-price total return; official cash distributions reinvested
133690,TIGER 미국나스닥100,2026-08-10,15.04,2026-02-10,15.19,2025-12-30,30.20,2025-08-08,30.04,2024-08-09,28.77,2023-08-10,-16.20,KRW market-price total return; official cash distributions reinvested
