ticker,shares,nav,bas_dt
440910,2300000,22680.87,20260922
441540,2700000,26678.79,20260922
441640,137450000,12336.51,20260922
441680,26300000,10823.86,20260922
441800,27440000,29267.16,20260922
442090,1500000,30403.83,20260922
442260,1240000,39118.69,20260922
442320,6270000,35126.86,20260922
442550,1550000,14664.46,20260922
442560,3400000,16364.34,20260922
442570,19900000,17398.6,20260922
442580,16930000,105556.25,20260922
444200,11100000,46045.3,20260922
444490,4450000,20079.56,20260922
445150,1850000,27778.07,20260922
445290,34800000,31137.28,20260922
445690,600000,30751.58,20260922
445910,900000,20511.42,20260922
446690,500000,60473.48,20260922
446700,1040000,10238.25,20260922
446720,76200000,13254.37,20260922
446770,20200000,79974.23,20260922
447430,2850000,16238.09,20260922
447620,7800000,15920.02,20260922
447660,1550000,13893.0,20260922
447770,31600000,13914.76,20260922
448100,1100000,115124.33,20260922
448290,27450000,17953.86,20260922
448300,18100000,23652.45,20260922
448330,73900000,17628.9,20260922
448490,210000,52574.83,20260922
448540,9300000,26618.82,20260922
448570,1350000,30516.24,20260922
448630,21500000,15331.54,20260922
449170,21323000,111921.59,20260922
449180,60950000,17331.39,20260922
449190,25250000,22925.62,20260922
449450,19290000,51392.07,20260922
449580,1100000,16265.69,20260922
449680,850000,9994.92,20260922
449690,750000,50568.43,20260922
449770,3800000,20944.28,20260922
449780,1800000,18816.27,20260922
450180,650000,10278.61,20260922
450190,600000,50987.79,20260922
450910,2620000,13700.29,20260922
451000,5202000,107010.46,20260922
451060,12600000,35877.56,20260922
451150,620000,17086.59,20260922
451530,3950000,34578.79,20260922
451540,19738000,52693.84,20260922
451600,194000,83516.5,20260922
451670,500000,11870.3,20260922
452250,7750000,4672.79,20260922
452360,17000000,13155.47,20260922
453010,134000,110052.08,20260922
453060,110000,111605.89,20260922
453080,3900000,23610.95,20260922
453330,4600000,18347.97,20260922
453630,1200000,11824.11,20260922
453640,4300000,13903.45,20260922
453650,2500000,18634.82,20260922
453660,700000,16510.19,20260922
453810,28950000,11168.33,20260922
453820,1300000,10438.07,20260922
453850,207600000,7146.93,20260922
453870,25050000,10931.9,20260922
453950,1950000,32266.22,20260922
454180,400000,7304.88,20260922
454320,2150000,43304.05,20260922
454780,3031000,99311.01,20260922
455030,45900000,11667.61,20260922
455660,6600000,9346.88,20260922
455850,41750000,26592.43,20260922
455860,24100000,4357.07,20260922
455890,55768000,55568.84,20260922
455960,4580000,11939.78,20260922
456200,110000,59027.77,20260922
456250,1150000,7914.73,20260922
456600,35860000,60070.18,20260922
456610,12132000,59115.82,20260922
456680,4080000,5164.51,20260922
456880,27580000,11963.99,20260922
457480,41350000,18712.48,20260922
457690,1620000,10439.78,20260922
457700,1320000,9079.9,20260922
457930,300000,27969.17,20260922
457990,3850000,33214.7,20260922
458030,1886000,55115.05,20260922
458210,1343000,110783.48,20260922
458250,11026000,34692.45,20260922
458260,4800000,45881.14,20260922
458730,293350000,14458.8,20260922
458750,5200000,12484.34,20260922
458760,63700000,10572.24,20260922
459560,1500000,22015.85,20260922
459580,6463500,1075652.08,20260922
459750,1750000,17727.52,20260922
459790,1450000,20683.78,20260922
460270,810000,12396.34,20260922
460660,1500000,11254.82,20260922
460960,7800000,10729.72,20260922
461340,1100000,44073.43,20260922
461450,1400000,15122.41,20260922
461460,1622000,51002.19,20260922
461490,19200000,14575.65,20260922
461500,1228000,104778.72,20260922
461580,600000,15440.53,20260922
461600,2650000,8279.75,20260922
461900,800000,23065.86,20260922
461910,500000,38618.39,20260922
461950,35750000,4795.7,20260922
462010,109500000,4720.2,20260922
462330,722800000,977.97,20260922
462340,500000,16448.16,20260922
462900,26200000,12401.91,20260922
463050,17850000,11014.51,20260922
463250,14900000,33598.21,20260922
463290,1153000,109418.53,20260922
463300,1600000,12995.35,20260922
463640,800000,12857.98,20260922
463680,5750000,22894.6,20260922
463690,550000,18067.64,20260922
464240,2780000,52072.08,20260922
464310,7800000,13416.04,20260922
464470,764000,46785.11,20260922
464600,900000,23086.24,20260922
464610,1550000,6687.9,20260922
464920,1200000,22570.35,20260922
464930,5200000,20576.36,20260922
465330,6125000,11169.97,20260922
465350,2000000,16537.49,20260922
465580,44600000,24654.49,20260922
465610,2400000,43485.83,20260922
465620,100000,6369.65,20260922
465660,1250000,23573.3,20260922
465670,1250000,16107.55,20260922
466810,1500000,5754.65,20260922
466920,53100000,27313.34,20260922
466930,7900000,23627.68,20260922
466940,31300000,27174.79,20260922
466950,18500000,31658.42,20260922
468370,1670000,10334.67,20260922
468380,8340000,10670.44,20260922
468630,2810000,10581.33,20260922
469050,1100000,33635.47,20260922
469060,2300000,36469.09,20260922
469070,33550000,10999.03,20260922
469150,18850000,62317.07,20260922
469160,850000,23776.52,20260922
469170,20400000,5904.39,20260922
469530,640000,9552.79,20260922
469790,700000,44375.32,20260922
469830,19116000,54470.91,20260922
470310,300000,18119.39,20260922
471040,9050000,29841.26,20260922
471230,4366000,103150.47,20260922
471460,460000,45058.27,20260922
471760,9250000,15134.26,20260922
471780,7700000,38404.86,20260922
471990,16750000,26601.35,20260922
472150,126790000,21001.33,20260922
472160,11950000,19698.91,20260922
472170,24100000,14110.97,20260922
472720,520000,25853.08,20260922
472830,5550000,7720.73,20260922
472840,375000,111359.73,20260922
472870,24250000,6790.98,20260922
472920,2586000,97838.7,20260922
473290,36060000,10892.41,20260922
473330,35050000,7829.31,20260922
473440,8700000,10865.86,20260922
473460,7650000,24300.09,20260922
473490,1500000,32124.22,20260922
473590,2400000,19958.94,20260922
473640,2100000,33531.98,20260922
474220,28250000,15149.18,20260922
474390,114000,40244.62,20260922
474590,7800000,48021.43,20260922
474800,2150000,15450.83,20260922
474920,940000,17918.22,20260922
475050,14750000,6738.2,20260922
475070,1100000,29672.86,20260922
475080,36200000,7939.06,20260922
475260,4610000,10762.58,20260922
475270,3760000,10736.68,20260922
475280,8920000,10737.19,20260922
475300,13000000,23360.25,20260922
475310,2900000,28850.37,20260922
475350,5050000,14301.45,20260922
475380,2650000,9931.79,20260922
475630,1558800,1077818.19,20260922
475720,66900000,12868.7,20260922
476000,550000,5072.81,20260922
476030,7800000,17371.71,20260922
476070,2650000,10380.99,20260922
476260,3100000,13466.04,20260922
476310,550000,9296.81,20260922
476450,2466000,52849.69,20260922
476550,114400000,6760.93,20260922
476690,3000000,10062.77,20260922
476750,8100000,7330.25,20260922
476760,43900000,8761.79,20260922
476800,115650000,4215.78,20260922
476850,4900000,22258.75,20260922
477050,10342000,53584.49,20260922
477080,14365000,107648.94,20260922
477490,900000,18708.47,20260922
477730,2950000,7090.49,20260922
478150,12250000,18209.26,20260922
479080,16420000,53860.09,20260922
479520,9707000,106539.49,20260922
479620,3450000,27289.29,20260922
479730,5900000,9552.02,20260922
479850,1350000,17680.56,20260922
480020,17900000,10068.77,20260922
480030,16800000,9626.56,20260922
480040,13600000,14459.38,20260922
480260,7356000,53852.88,20260922
480310,2700000,21950.35,20260922
480460,850000,9253.62,20260922
481050,2501500,1023550.58,20260922
481060,101800000,7363.74,20260922
481180,8600000,16591.65,20260922
481190,17450000,17296.9,20260922
481340,2950000,8383.05,20260922
481430,547000,97477.18,20260922
482030,1050000,9095.42,20260922
482730,57050000,11598.1,20260922
483020,650000,8944.06,20260922
483030,450000,11564.73,20260922
483280,39400000,12001.59,20260922
483290,17500000,9911.02,20260922
483320,11700000,25655.0,20260922
483330,1100000,15273.34,20260922
483340,11250000,22715.03,20260922
483570,1600000,16094.62,20260922
484790,72130000,8192.81,20260922
484880,16300000,23257.39,20260922
484890,284000,52617.61,20260922
485540,20200000,15661.46,20260922
485690,3650000,22847.07,20260922
485810,1200000,11546.51,20260922
486240,3100000,30521.67,20260922
486290,242900000,10635.27,20260922
486450,10950000,18955.29,20260922
486830,4976000,53374.07,20260922
487130,1450000,29959.2,20260922
487230,75000000,19606.19,20260922
487240,87800000,37572.09,20260922
487340,11019000,106047.3,20260922
487750,400000,33783.95,20260922
487910,1200000,8040.05,20260922
487920,1000000,7568.71,20260922
487950,1450000,12978.75,20260922
488080,18050000,37851.27,20260922
488200,350000,12586.27,20260922
488210,100000,25771.16,20260922
488290,350000,42278.52,20260922
488480,550000,12790.06,20260922
488500,9050000,12200.61,20260922
488720,3276000,48545.41,20260922
488770,89361000,105590.88,20260922
488980,4188000,52195.76,20260922
489000,2200000,9116.31,20260922
489030,46850000,6284.25,20260922
489250,47700000,12443.69,20260922
489290,1900000,15011.61,20260922
489860,850000,14805.48,20260922
490090,13100000,16218.91,20260922
490330,350000,13676.41,20260922
490480,2700000,28367.56,20260922
490490,43200000,10690.48,20260922
490590,55800000,14600.28,20260922
490600,19150000,8602.95,20260922
491010,25250000,24937.4,20260922
491090,1850000,18442.15,20260922
491220,450000,132914.01,20260922
491230,2270000,52572.94,20260922
491510,850000,17936.61,20260922
491610,1383000,105032.01,20260922
491620,55150000,10584.96,20260922
491630,575000,4960.51,20260922
491700,600000,112889.97,20260922
491820,3650000,44939.55,20260922
491830,1750000,23425.49,20260922
492500,1322000,51305.96,20260922
493420,2100000,12230.6,20260922
493810,21350000,11458.22,20260922
494180,700000,12946.31,20260922
494210,700000,10833.66,20260922
494220,3500000,50806.14,20260922
494300,115100000,8972.29,20260922
494310,13100000,88755.93,20260922
494330,5700000,32998.96,20260922
494340,1500000,20981.06,20260922
494410,2100000,14399.57,20260922
494420,1800000,8659.27,20260922
494670,25500000,21702.5,20260922
494840,3350000,12080.55,20260922
494890,33700000,32270.61,20260922
495040,2700000,32381.37,20260922
495050,29550000,32860.46,20260922
495060,6800000,28750.59,20260922
495230,7850000,31807.99,20260922
495330,4300000,32485.34,20260922
495550,5750000,33417.16,20260922
495750,2450000,32642.48,20260922
495850,20800000,32639.49,20260922
495940,3150000,19655.14,20260922
496020,9444000,52559.99,20260922
496080,15500000,32739.99,20260922
496090,3300000,32696.11,20260922
496120,750000,33956.65,20260922
496130,540000,25806.76,20260922
496770,1800000,16436.88,20260922
497510,700000,12696.53,20260922
497520,650000,12851.07,20260922
497570,50250000,22280.22,20260922
497780,1850000,10110.29,20260922
497880,5810000,50112.59,20260922
498050,950000,9694.01,20260922
498180,1507000,93081.33,20260922
498270,15050000,14799.68,20260922
498400,295700000,20800.86,20260922
498410,69900000,11815.49,20260922
498610,600000,7846.67,20260922
498860,2000000,16510.82,20260922
499150,500000,10834.21,20260922
499660,450500,1002229.76,20260922
