ticker,shares,nav,bas_dt
0152E0,2350000,10696.18,20260922
0153K0,12000000,12203.13,20260922
0153P0,1450000,9547.12,20260922
0153X0,1850000,10891.57,20260922
0154F0,2850000,12372.13,20260922
0154H0,550000,9199.59,20260922
0155M0,4500000,6469.45,20260922
0155N0,3900000,7790.08,20260922
0162L0,8000000,13622.83,20260922
0162M0,41820000,10038.09,20260922
0162Y0,34050000,7746.87,20260922
0162Z0,303200000,13901.32,20260922
0163Y0,49750000,9750.69,20260922
0164G0,2100000,12763.67,20260922
0166N0,3500000,8270.14,20260922
0166S0,5250000,11613.09,20260922
0166T0,650000,9346.91,20260922
0167A0,312300000,18564.53,20260922
0167B0,55200000,12098.92,20260922
0167Z0,45250000,7708.37,20260922
0168K0,21020000,5396.59,20260922
0172V0,7100000,8457.51,20260922
0172Y0,800000,9449.03,20260922
0173Y0,36100000,11323.36,20260922
0174B0,7350000,14760.82,20260922
0174J0,600000,8792.65,20260922
0174R0,850000,11400.21,20260922
0176E0,10550000,9723.43,20260922
0176P0,550000,13775.62,20260922
0177A0,2600000,9686.83,20260922
0177N0,107000000,14621.49,20260922
0177R0,73500000,11782.37,20260922
0177X0,10250000,9811.92,20260922
0178H0,4700000,10225.47,20260922
0180V0,19000000,8026.96,20260922
0181B0,12150000,9927.9,20260922
0181L0,8300000,7209.02,20260922
0182R0,31300000,11105.94,20260922
0182S0,18700000,12881.82,20260922
0183J0,147700000,7818.32,20260922
0183V0,22500000,12042.76,20260922
0184E0,3100000,11200.39,20260922
0184L0,1206000,100476.19,20260922
0184N0,1000000,8794.77,20260922
0184V0,1050000,5175.52,20260922
0185L0,6950000,7228.56,20260922
0186L0,2300000,9499.02,20260922
0186S0,5100000,8368.85,20260922
0189B0,5150000,8109.14,20260922
0189Z0,1000000,10372.95,20260922
0190C0,60300000,7740.19,20260922
0190G0,18900000,9457.06,20260922
0190M0,2400000,8616.78,20260922
0190Y0,8100000,8673.51,20260922
0191B0,200000,31592.11,20260922
0191M0,414000,100764.67,20260922
0191S0,740000,14114.31,20260922
0191W0,1101000,100779.03,20260922
0192L0,4000000,10037.73,20260922
0192M0,2575000,12218.13,20260922
0192S0,2200000,9593.13,20260922
0192T0,4300000,6823.44,20260922
0192Z0,1821000,100817.73,20260922
0193G0,18900000,8627.97,20260922
0193K0,1150000,13261.9,20260922
0193L0,1420000,8032.61,20260922
0193M0,2114000,50329.79,20260922
0193T0,207550000,11553.61,20260922
0193W0,119975000,13119.67,20260922
0194M0,3600000,12080.21,20260922
0194N0,775000,12076.79,20260922
0194R0,1350000,9571.29,20260922
0194T0,5550000,9872.19,20260922
0195R0,86400000,11917.27,20260922
0195S0,159325000,9809.57,20260922
0197W0,4550000,9673.27,20260922
0197X0,16325000,5609.72,20260922
0198A0,9200000,8617.7,20260922
0198B0,1480000,12429.32,20260922
0198D0,2520000,10213.4,20260922
0199C0,15100000,9221.34,20260922
0203D0,1300000,9089.75,20260922
0203R0,340000,50407.48,20260922
0203S0,3050000,8612.05,20260922
0204D0,33950000,5691.23,20260922
0204S0,4430000,7411.47,20260922
0206G0,2850000,7859.72,20260922
0207G0,5800000,7306.82,20260922
0207Z0,2150000,7213.1,20260922
0208N0,1650000,7797.14,20260922
0209D0,14550000,7904.08,20260922
0209Z0,3550000,7322.43,20260922
0210A0,53700000,7663.19,20260922
0210E0,9800000,7505.77,20260922
0214M0,850000,9360.84,20260922
0215T0,900000,9140.19,20260922
0216K0,1000000,8826.14,20260922
0216Z0,1250000,8861.09,20260922
0218J0,3350000,9137.22,20260922
0218K0,700000,10559.54,20260922
0219B0,800000,12336.79,20260922
0219E0,99000000,8597.88,20260922
0219Z0,800000,10485.76,20260922
0220A0,1400000,8867.83,20260922
0220B0,4350000,11288.01,20260922
0221V0,1069000,100619.94,20260922
0221Z0,950000,8897.86,20260922
0222D0,5800000,10328.76,20260922
0222F0,1150000,13154.94,20260922
0223A0,1600000,11151.31,20260922
0223R0,2910000,9734.67,20260922
0224D0,1000000,11067.0,20260922
0224X0,2600000,9757.71,20260922
0225V0,6500000,12332.22,20260922
0226A0,5000000,11368.26,20260922
0226D0,800000,10331.25,20260922
0226G0,700000,12384.31,20260922
0227K0,1000000,9328.01,20260922
0227L0,1000000,10626.56,20260922
0228G0,25000000,10418.78,20260922
0229F0,700000,7914.43,20260922
0231Z0,2000000,10448.63,20260922
0232A0,2484000,100256.53,20260922
0233A0,6400000,10755.94,20260922
0233J0,20000000,10714.65,20260922
0233N0,1500000,11018.98,20260922
0234N0,3500000,10588.06,20260922
0238C0,2400000,10155.47,20260922
0238F0,7000000,10593.91,20260922
0238P0,5180000,10129.97,20260922
0239Y0,2000000,10236.42,20260922
0239Z0,2000000,11113.29,20260922
0240J0,7000000,10619.17,20260922
0241R0,2000000,10116.55,20260922
0242S0,900000,10428.07,20260922
069500,230700000,111926.48,20260922
069660,7500000,111861.2,20260922
091160,43175000,136965.34,20260922
091170,17750000,16677.29,20260922
091180,14150000,25501.03,20260922
091220,1200000,17386.77,20260922
091230,9880000,144896.37,20260922
099140,1600000,20768.33,20260922
100910,2400000,17517.21,20260922
101280,1720000,30070.17,20260922
102110,91550000,112193.43,20260922
102780,128100000,26659.09,20260922
102960,1000000,13616.21,20260922
102970,37250000,17866.84,20260922
104520,1000000,14580.51,20260922
104530,2050000,17161.46,20260922
105010,1400000,6327.58,20260922
105190,15400000,112181.66,20260922
105780,2000000,16720.95,20260922
108450,2000000,40402.09,20260922
108590,200000,111507.28,20260922
114100,925000,105797.42,20260922
114260,8066000,61646.64,20260922
114460,150000,99938.52,20260922
114470,450000,107201.57,20260922
114800,767900000,980.5,20260922
114820,1168000,104859.59,20260922
117460,2380000,13464.98,20260922
117680,2380000,12636.67,20260922
117690,500000,19135.68,20260922
117700,31500000,7309.8,20260922
122090,2130000,84318.62,20260922
122260,310000,104168.72,20260922
122630,53550000,114268.3,20260922
123310,42500000,1090.72,20260922
123320,2300000,115052.14,20260922
130680,2100000,7868.9,20260922
130730,660000,103092.62,20260922
131890,400000,40136.53,20260922
132030,15100000,24346.34,20260922
133690,65530000,183337.17,20260922
136340,2748000,103968.58,20260922
137610,2300000,5954.59,20260922
138230,1450000,15954.44,20260922
138520,4040000,36883.44,20260922
138530,6480000,12268.03,20260922
138540,13000000,48397.86,20260922
138910,3300000,10195.0,20260922
138920,500000,13117.94,20260922
139220,16880000,8213.83,20260922
139230,19520000,13124.82,20260922
139240,880000,11227.52,20260922
139250,1540000,17527.64,20260922
139260,19340000,143173.74,20260922
139270,1840000,17197.58,20260922
139280,3200000,12224.51,20260922
139290,280000,23529.26,20260922
139320,2250000,18086.68,20260922
139660,870000,8530.2,20260922
140570,400000,25915.1,20260922
140580,500000,24152.34,20260922
140700,3000000,20676.28,20260922
140710,1900000,6698.18,20260922
140950,560000,87987.87,20260922
143850,1175000,78078.19,20260922
143860,3980000,34448.77,20260922
144600,73200000,10684.11,20260922
145670,2200000,1248.4,20260922
145850,250000,118594.96,20260922
147970,460000,80252.56,20260922
148020,40600000,112766.82,20260922
148070,3855000,103908.33,20260922
150460,7350000,7358.14,20260922
152100,13450000,113611.08,20260922
152380,318000,64488.29,20260922
152500,1100000,46891.26,20260922
152870,1400000,112946.47,20260922
153130,7066000,113146.46,20260922
153270,360000,86197.53,20260922
156080,600000,53513.67,20260922
157450,11494000,112655.51,20260922
157490,9280000,8029.66,20260922
157500,17800000,12164.08,20260922
159800,280000,88759.93,20260922
160580,9700000,16502.55,20260922
161510,95670000,24965.08,20260922
166400,500000,25224.05,20260922
167860,290000,90842.64,20260922
168580,3120000,33717.04,20260922
169950,800000,25107.03,20260922
174350,380000,20719.3,20260922
174360,1400000,22671.53,20260922
176950,108000,60947.01,20260922
181480,120000,82076.66,20260922
182480,8800000,13319.26,20260922
182490,600000,13800.72,20260922
183700,420000,97251.25,20260922
183710,200000,94805.79,20260922
185680,532000,45862.56,20260922
189400,300000,25994.43,20260922
190620,2905000,102083.48,20260922
192090,10350000,12181.19,20260922
192720,510000,57781.9,20260922
195920,500000,35263.6,20260922
195930,1600000,23258.5,20260922
195970,1460000,16270.41,20260922
195980,6140000,15509.25,20260922
196030,500000,89832.09,20260922
196230,2217000,117043.12,20260922
200030,1127000,39868.77,20260922
200250,7900000,20471.9,20260922
203780,3000000,34708.76,20260922
204450,9600000,2255.43,20260922
204480,3260000,23263.37,20260922
205720,3000000,1455.23,20260922
210780,3300000,23310.56,20260922
211560,2010000,35008.73,20260922
211900,3250000,27946.8,20260922
213610,11900000,22605.51,20260922
213630,920000,20419.46,20260922
214980,15828000,114411.42,20260922
215620,540000,16052.32,20260922
217770,28850000,1100.67,20260922
217780,1550000,5632.79,20260922
218420,2455000,19834.56,20260922
219390,2000000,8144.1,20260922
219480,4500000,33457.44,20260922
219900,1400000,3999.35,20260922
220130,800000,6961.67,20260922
223190,1000000,28064.2,20260922
225030,1650000,2234.2,20260922
225040,840000,68897.6,20260922
225050,450000,16023.08,20260922
225060,1060000,16931.2,20260922
225130,500000,47490.57,20260922
225800,510000,14593.39,20260922
226380,700000,5669.21,20260922
226490,20450000,72151.67,20260922
226980,900000,22996.39,20260922
227540,1660000,18285.61,20260922
227550,640000,12343.34,20260922
227560,360000,12501.97,20260922
227570,360000,20845.09,20260922
227830,250000,72641.68,20260922
228790,57960000,4264.49,20260922
228800,25650000,2648.67,20260922
228810,24480000,3008.29,20260922
228820,1000000,19104.59,20260922
229200,333100000,13980.74,20260922
229720,500000,37859.22,20260922
230480,2010000,4773.75,20260922
232080,97420000,14255.88,20260922
233160,22700000,7498.21,20260922
233740,493200000,6791.6,20260922
234310,500000,28578.1,20260922
236350,620000,24644.7,20260922
237350,10850000,89382.54,20260922
237370,10400000,15614.96,20260922
237440,1000000,10148.42,20260922
238670,400000,13450.42,20260922
238720,900000,47295.29,20260922
239660,180000,121718.87,20260922
241180,11440000,33786.24,20260922
241390,2200000,15769.77,20260922
243880,1300000,354815.48,20260922
243890,450000,8109.16,20260922
244580,26080000,7734.27,20260922
244620,700000,20797.55,20260922
244660,400000,9222.63,20260922
244670,600000,11588.9,20260922
245340,4060000,34451.2,20260922
245350,1600000,19075.41,20260922
245360,2100000,11996.09,20260922
245710,12900000,28685.28,20260922
248270,1160000,25889.91,20260922
