isin_cd,ticker,name,base_index,asset_family,region_primary,comparison_category,comparison_topic,comparison_subtopic,index_family,strategy_style,payoff_structure,direction,leverage_multiple,fx_hedge,replication_method,concentration_bucket,primary_peer_group_id,alternate_peer_group_ids,classification_status,evidence_basis,official_source_url,review_reason
KR7385720008,385720,TIME 코스피액티브,코스피,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,active,plain,neutral,1X,unhedged_or_not_applicable,active,unknown,PG-PENDING-385720-1e9816693e,,classified_derived,기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략),,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7387270002,387270,TIGER 글로벌이노베이션액티브,NASDAQ 100,주식,미국,대표지수,나스닥 100 코어,미국 나스닥100,NASDAQ100,active,plain,neutral,1X,unhedged,active,broad,PG-주식-미국-대표지수-나스닥100-미국-나스닥100-NASDAQ10-07ea923e6f,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 나스닥100),가능,
KR7387280001,387280,TIGER 퓨처모빌리티액티브,FnGuide 퓨처모빌리티 지수,주식,국내,산업·섹터,자동차 & 스마트모빌리티,국내 자동차·모빌리티,자동차-모빌리티-국내-자동차-모빌리티-8d473faf1b,active,plain,neutral,1X,unhedged_or_not_applicable,active,unknown,PG-주식-국내-산업-섹터-자동차-모빌리티-국내-자동차-모빌리티-자동차-7f7ba1f1bb,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 자동차·모빌리티),가능,
KR7388280000,388280,RISE K엔터&여행레저,FnGuide K엔터&여행레저 지수,주식,국내,산업·섹터,K-엔터 & 미디어·게임,국내 미디어·게임·엔터테인먼트,미디어-게임-엔터테인먼트-국내-미디어-게임-엔터테인먼트-0ac91da332,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,unknown,PG-주식-국내-산업-섹터-미디어-게임-엔터테인먼트-국내-미디어-게임--48c79cc9a6,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미디어·게임·엔터테인먼트),가능,
KR7388420002,388420,RISE 비메모리반도체액티브,iSelect 비메모리반도체 지수(시장가격지수),주식,국내,산업·섹터,전통 반도체 소부장,국내 반도체,반도체-국내-반도체-0ed1f11677,active,plain,neutral,1X,unhedged_or_not_applicable,active,unknown,PG-주식-국내-산업-섹터-반도체-국내-반도체-반도체-국내-반도체-0E-f4bdfa635d,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 반도체),가능,
KR7390390003,390390,KODEX 미국반도체,MVIS US Listed Semiconductor 25 Index,주식,미국,산업·섹터,글로벌 AI 반도체,미국 반도체,반도체-미국-반도체-e09cd52751,passive,plain,neutral,1X,unhedged,physical_or_unspecified,unknown,PG-주식-미국-산업-섹터-반도체-미국-반도체-반도체-미국-반도체-E0-e607778dbd,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 반도체),가능,
KR7390400000,390400,KODEX 미국스마트모빌리티S&P,S&P Kensho Smart Transportation,주식,미국,산업·섹터,전기차 & 자율주행,미국 자동차·모빌리티,자동차-모빌리티-미국-자동차-모빌리티-6f7e32a606,passive,plain,neutral,1X,unhedged,physical_or_unspecified,unknown,PG-주식-미국-산업-섹터-자동차-모빌리티-미국-자동차-모빌리티-자동차-d37f4277a0,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 자동차·모빌리티),가능,
KR7391600004,391600,ACE 미국친환경그린테마,Indxx US Green Infrastructure Price return Index,주식,미국,산업·섹터,건설·인프라,미국 건설·인프라,건설-인프라-미국-건설-인프라-e7af05aea6,passive,plain,neutral,1X,unhedged,physical_or_unspecified,unknown,PG-주식-미국-산업-섹터-건설-인프라-미국-건설-인프라-건설-인프라--6487fcdd06,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 건설·인프라),가능,
KR7391670007,391670,HK 베스트일레븐액티브,코스피 200,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,active,plain,neutral,1X,unhedged_or_not_applicable,active,broad,PG-PENDING-391670-51308ab99e,,classified_derived,기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략),,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7394660005,394660,TIGER 글로벌자율주행&전기차SOLACTIVE,Solactive Autonomous & Electric Vehicles 지수(PR),주식,미국,기타특수구조,전기차 & 자율주행,미국 미확인 주식전략,미확인-주식전략-미국-미확인-주식전략-bf6afc4d9f,active,plain,neutral,1X,unhedged,active,unknown,PG-PENDING-394660-e1ff5030b7,,classified_derived,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
